ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
1	6431	0	0	0.000000	50.828332	46.752449	0.000000	0.000000	0	835	0
2	6358	0	0	0.000000	57.289085	53.926707	0.000000	0.000000	0	931	0
3	4205	0	0	0.000000	57.695838	56.021641	0.000000	0.000000	0	599	0
4	37310	0	0	0.000000	55.194425	52.501957	0.000000	0.000000	0	5073	0
5	18001	1	0	0.000000	62.606966	60.301650	0.000000	0.000000	0	2722	0
6	1265	2	1	0.000000	548.869565	431.220553	0.000000	0.000000	0	2030	0
7	42	1	1	0.000000	305.404762	299.642857	0.000000	0.000000	0	199	0
8	499	2	2	0.000000	495.386774	362.849699	0.000000	0.000000	0	786	0
9	110187	1	0	0.000000	58.069037	55.247352	0.000000	0.000000	0	15872	0
10	6626	0	0	0.000000	52.718533	50.690462	0.000000	0.000000	0	838	0
11	12998	1	1	0.000000	55.656947	54.009078	0.000000	0.000000	0	1765	0
12	3376	1	1	0.000000	60.643957	56.786434	0.000000	0.000000	0	523	0
13	14212	1	0	0.000000	55.548691	53.177104	0.000000	0.000000	0	1961	0
14	6994	1	1	0.000000	56.020303	53.434801	0.000000	0.000000	0	972	0
15	1889	2	1	0.000000	77.517205	68.475913	0.000000	0.000000	0	395	0
16	17019	1	1	0.000000	56.154416	53.781480	0.000000	0.000000	0	2419	0
17	39820	0	1	0.000000	53.930789	50.879307	0.000000	0.000000	0	5364	0
18	7590	1	1	0.000000	50.239394	46.944796	0.000000	0.000000	0	992	0
19	20504	0	1	0.000000	56.017021	53.764583	0.000000	0.000000	0	2770	0
20	9544	0	0	0.000000	48.693944	46.820620	0.000000	0.000000	0	1179	0
21	41457	0	0	0.000000	55.095400	52.301083	0.000000	0.000000	0	5637	0
22	34550	0	0	0.000000	54.268857	51.878234	0.000000	0.000000	0	4578	0
23	3421	0	0	0.000000	46.468284	43.957615	0.000000	0.000000	0	419	0
24	16500	0	0	0.000000	52.597333	50.437030	0.000000	0.000000	0	2184	0
25	65547	0	1	0.000000	55.240789	52.634308	0.000000	0.000000	0	8735	0
26	21450	1	0	0.000000	53.509650	50.935478	0.000000	0.000000	0	2841	0
27	49952	1	1	0.000000	68.819527	66.515855	0.000000	0.000000	0	8354	0
28	30860	1	1	0.000000	54.416980	52.292839	0.000000	0.000000	0	4183	0
29	12221	0	0	0.000000	58.212258	56.442681	0.000000	0.000000	0	1727	0
30	8578	0	0	0.000000	48.508044	45.953136	0.000000	0.000000	0	1076	0
31	16751	1	0	0.000000	56.339622	54.254910	0.000000	0.000000	0	2325	0
32	31502	1	1	0.000000	61.218780	57.783855	0.000000	0.000000	0	4741	0
33	5907	0	1	0.000000	62.901134	58.572880	0.000000	0.000000	0	912	0
34	34581	0	1	0.000000	57.236141	54.780313	0.000000	0.000000	0	4785	0
35	10658	0	0	0.000000	58.202477	54.971383	0.000000	0.000000	0	1487	0
36	22154	0	0	0.000000	52.605173	49.896723	0.000000	0.000000	0	2836	0
37	29839	1	1	0.000000	73.578505	70.039412	0.000000	0.000000	0	5409	0
38	43548	0	1	0.000000	55.595688	52.842978	0.000000	0.000000	0	5928	0
39	10247	0	0	0.000000	54.678442	52.745584	0.000000	0.000000	0	1395	0
40	49905	1	1	0.000000	54.977397	52.087687	0.000000	0.000000	0	6924	0
41	1232	1	1	0.000000	81.407468	77.336039	0.000000	0.000000	0	316	0
42	5981	0	0	0.000000	54.098646	51.009029	0.000000	0.000000	0	843	0
43	17895	1	0	0.000000	49.620564	47.714837	0.000000	0.000000	0	2219	0
44	22017	0	1	0.000000	55.865786	53.647091	0.000000	0.000000	0	2982	0
45	107	1	1	0.000000	138.663551	136.775701	0.000000	0.000000	0	117	0
46	294	2	2	0.000000	269.704082	199.051020	0.000000	0.000000	0	298	0
47	35809	1	0	0.000000	52.940741	51.341506	0.000000	0.000000	0	4661	0
48	26894	0	0	0.000000	54.259426	51.818510	0.000000	0.000000	0	3567	0
49	32732	0	1	0.000000	60.105982	57.548668	0.000000	0.000000	0	4695	0
50	9497	0	0	0.000000	51.142361	49.050648	0.000000	0.000000	0	1203	0
51	30045	0	0	0.000000	53.964120	52.215710	0.000000	0.000000	0	3916	0
52	1	1	1	0.000000	1057.000000	1057.000000	0.000000	0.000000	0	207	0
53	8241	0	0	0.000000	52.370707	50.041864	0.000000	0.000000	0	1081	0
54	48	2	2	0.000000	186.583333	97.520833	0.000000	0.000000	0	88	0
55	1	1	4	0.000000	438.000000	380.000000	0.000000	0.000000	0	194	0
56	1	1	3	0.000000	584.000000	584.000000	0.000000	0.000000	0	266	0
57	2	1	3	0.000000	2115.500000	1981.500000	0.000000	0.000000	0	1053	0
58	3	5	2	0.000000	2355.333333	2060.666667	0.000000	0.000000	0	1124	0
59	1	1	1	0.000000	446.000000	446.000000	0.000000	0.000000	0	188	0
60	3	2	2	0.000000	455.333333	254.666667	0.000000	0.000000	0	223	0
61	3	2	1	0.000000	255.666667	255.000000	0.000000	0.000000	0	102	0
62	12747	1	1	0.000000	51.989409	48.276771	0.000000	0.000000	0	1644	0
63	33992	0	0	0.000000	56.950341	54.242498	0.000000	0.000000	0	4693	0
64	6580	1	1	0.000000	51.956535	51.173252	0.000000	0.000000	0	813	0
65	28333	1	0	0.000000	61.732679	59.488582	0.000000	0.000000	0	4330	0
66	40150	1	0	0.000000	54.110934	51.760872	0.000000	0.000000	0	5269	0
67	9265	0	0	0.000000	56.221802	53.794603	0.000000	0.000000	0	1296	0
68	13230	1	0	0.000000	51.424187	48.509221	0.000000	0.000000	0	1705	0
69	9368	0	0	0.000000	48.553907	47.462532	0.000000	0.000000	0	1110	0
70	16334	1	0	0.000000	52.477042	49.196461	0.000000	0.000000	0	2212	0
71	27671	1	0	0.000000	58.877597	56.907737	0.000000	0.000000	0	3888	0
72	13534	0	0	0.000000	57.261785	54.413920	0.000000	0.000000	0	1913	0
73	19693	0	1	0.000000	57.985122	55.249886	0.000000	0.000000	0	2775	0
74	441	1	1	0.000000	57.063492	56.197279	0.000000	0.000000	0	101	0
75	236	1	1	0.000000	72.211864	70.542373	0.000000	0.000000	0	110	0
76	1739	0	0	0.000000	46.021852	45.375503	0.000000	0.000000	0	237	0
77	9544	0	1	0.000000	46.471396	43.543902	0.000000	0.000000	0	1117	0
78	2647	0	1	0.000000	66.559879	62.698904	0.000000	0.000000	0	468	0
79	33339	0	0	0.000000	51.826420	49.542518	0.000000	0.000000	0	4184	0
80	31566	0	0	0.000000	54.240068	52.411614	0.000000	0.000000	0	4098	0
81	4689	0	0	0.000000	50.025165	47.288974	0.000000	0.000000	0	590	0
82	29420	0	1	0.000000	53.673419	50.509347	0.000000	0.000000	0	3798	0
83	382	1	1	0.000000	108.876963	103.557592	0.000000	0.000000	0	162	0
84	1117	2	2	0.000000	476.565801	363.486124	0.000000	0.000000	0	1548	0
85	16877	1	1	0.000000	52.460271	50.295076	0.000000	0.000000	0	2217	0
86	8631	0	1	0.000000	61.376666	56.918434	0.000000	0.000000	0	1315	0
87	9867	1	0	0.000000	55.803790	53.137225	0.000000	0.000000	0	1382	0
88	27636	1	0	0.000000	48.678354	45.844370	0.000000	0.000000	0	3405	0
89	5832	0	0	0.000000	60.197359	57.509088	0.000000	0.000000	0	856	0
90	10030	0	0	0.000000	57.698305	53.051346	0.000000	0.000000	0	1442	0
91	4210	1	1	0.000000	64.997387	62.089786	0.000000	0.000000	0	691	0
92	1186	0	1	0.000000	57.923272	57.035413	0.000000	0.000000	0	187	0
93	7533	0	0	0.000000	53.324970	50.708748	0.000000	0.000000	0	1032	0
94	10185	0	1	0.000000	51.184487	47.867943	0.000000	0.000000	0	1289	0
95	25640	0	0	0.000000	54.932722	52.084438	0.000000	0.000000	0	3448	0
96	45	1	2	0.000000	118.222222	116.977778	0.000000	0.000000	0	76	0
97	239	2	2	0.000000	226.451883	138.527197	0.000000	0.000000	0	217	0
98	21757	0	1	0.000000	53.764398	51.271912	0.000000	0.000000	0	2844	0
99	4822	1	0	0.000000	57.724388	54.063874	0.000000	0.000000	0	711	0
100	11289	0	0	0.000000	56.037204	52.704757	0.000000	0.000000	0	1600	0
101	13112	0	0	0.000000	52.430827	49.554988	0.000000	0.000000	0	1728	0
102	226	2	2	0.000000	224.035398	140.168142	0.000000	0.000000	0	234	0
103	40	1	1	0.000000	163.825000	135.750000	0.000000	0.000000	0	105	0
104	7929	0	0	0.000000	55.502207	53.198890	0.000000	0.000000	0	1096	0
105	6810	0	0	0.000000	45.903818	44.141263	0.000000	0.000000	0	809	0
106	23727	1	0	0.000000	50.981329	49.248957	0.000000	0.000000	0	2976	0
107	13599	0	0	0.000000	45.981543	43.021987	0.000000	0.000000	0	1612	0
108	12718	0	0	0.000000	54.787938	52.362950	0.000000	0.000000	0	1695	0
109	25270	0	1	0.000000	63.312545	61.393312	0.000000	0.000000	0	3797	0
110	7669	1	1	0.000000	55.918894	52.478420	0.000000	0.000000	0	1100	0
111	36908	1	0	0.000000	58.044299	55.031700	0.000000	0.000000	0	5353	0
112	15627	1	0	0.000000	56.115377	53.493313	0.000000	0.000000	0	2169	0
113	5697	0	0	0.000000	57.909250	56.712305	0.000000	0.000000	0	797	0
114	32682	0	0	0.000000	54.172052	52.086408	0.000000	0.000000	0	4316	0
115	7420	0	0	0.000000	53.135849	51.635984	0.000000	0.000000	0	993	0
116	3827	1	1	0.000000	64.978835	63.370003	0.000000	0.000000	0	623	0
117	13068	1	0	0.000000	51.974212	49.672942	0.000000	0.000000	0	1712	0
118	20032	1	1	0.000000	58.436552	55.566993	0.000000	0.000000	0	2923	0
119	245	2	2	0.000000	741.571429	591.126531	0.000000	0.000000	0	775	0
120	15462	0	0	0.000000	57.550123	55.413918	0.000000	0.000000	0	2111	0
121	3092	1	1	0.000000	74.748706	71.342173	0.000000	0.000000	0	612	0
122	9584	0	1	0.000000	47.495096	45.607992	0.000000	0.000000	0	1143	0
123	6924	0	1	0.000000	56.333622	53.423744	0.000000	0.000000	0	954	0
124	439	1	1	0.000000	72.457859	70.961276	0.000000	0.000000	0	106	0
125	17188	1	1	0.000000	61.111473	58.506982	0.000000	0.000000	0	2584	0
126	9	1	2	0.000000	100.888889	100.666667	0.000000	0.000000	0	41	0
127	1	2	3	0.000000	175.000000	137.000000	0.000000	0.000000	0	74	0
128	64	3	1	0.000000	134.750000	72.109375	0.000000	0.000000	0	66	0
129	17607	0	0	0.000000	54.562276	51.588289	0.000000	0.000000	0	2321	0
130	85556	0	0	0.000000	56.220113	53.877718	0.000000	0.000000	0	11649	0
131	14853	1	0	0.000000	55.440315	53.173635	0.000000	0.000000	0	2009	0
132	16281	0	0	0.000000	58.381365	55.699097	0.000000	0.000000	0	2240	0
133	5467	0	0	0.000000	50.951527	47.505762	0.000000	0.000000	0	688	0
134	3515	1	0	0.000000	50.124040	45.151920	0.000000	0.000000	0	505	0
135	1	1	2	0.000000	232.000000	230.000000	0.000000	0.000000	0	120	0
136	1	2	3	0.000000	2081.000000	2027.000000	0.000000	0.000000	0	913	0
137	1	2	1	0.000000	1975.000000	1935.000000	0.000000	0.000000	0	872	0
138	4	4	1	0.000000	1947.500000	1696.250000	0.000000	0.000000	0	905	0
139	71	1	2	0.000000	72.169014	70.591549	0.000000	0.000000	0	95	0
140	23123	0	0	0.000000	56.720451	54.836829	0.000000	0.000000	0	3202	0
141	4830	0	0	0.000000	43.274948	41.658592	0.000000	0.000000	0	543	0
142	7938	1	0	0.000000	50.574578	48.246032	0.000000	0.000000	0	1014	0
143	23270	1	0	0.000000	55.248990	52.465879	0.000000	0.000000	0	3093	0
144	9987	1	0	0.000000	61.580354	59.795534	0.000000	0.000000	0	1572	0
145	28149	0	0	0.000000	55.565668	52.844755	0.000000	0.000000	0	3816	0
146	18919	0	1	0.000000	64.298536	60.159258	0.000000	0.000000	0	3003	0
147	8772	1	1	0.000000	47.543662	45.735522	0.000000	0.000000	0	1007	0
148	4430	0	0	0.000000	56.341535	54.903386	0.000000	0.000000	0	629	0
149	19	0	1	0.000000	118.631579	116.631579	0.000000	0.000000	0	97	0
150	1040	1	2	0.000000	193.182692	180.687500	0.000000	0.000000	0	557	0
151	8449	0	0	0.000000	56.686945	54.753344	0.000000	0.000000	0	1180	0
152	10813	0	1	0.000000	49.888560	47.039212	0.000000	0.000000	0	1318	0
153	15440	1	0	0.000000	51.581541	48.813212	0.000000	0.000000	0	1954	0
154	4486	0	0	0.000000	55.897905	53.037004	0.000000	0.000000	0	662	0
155	2765	1	0	0.000000	48.563834	47.293309	0.000000	0.000000	0	367	0
156	19626	0	0	0.000000	55.573321	53.650769	0.000000	0.000000	0	2573	0
157	22339	1	0	0.000000	55.099020	52.764672	0.000000	0.000000	0	3129	0
158	4419	0	0	0.000000	41.925775	40.042770	0.000000	0.000000	0	450	0
159	39815	0	0	0.000000	59.808941	57.344945	0.000000	0.000000	0	5799	0
160	11543	1	1	0.000000	52.926016	50.669410	0.000000	0.000000	0	1550	0
161	17208	0	0	0.000000	57.553115	54.430730	0.000000	0.000000	0	2382	0
162	22762	0	0	0.000000	58.384764	56.109613	0.000000	0.000000	0	3199	0
163	7295	0	0	0.000000	48.126388	44.508293	0.000000	0.000000	0	875	0
164	41310	0	0	0.000000	53.993634	52.064730	0.000000	0.000000	0	5392	0
165	3943	0	0	0.000000	55.206442	51.861273	0.000000	0.000000	0	555	0
166	5735	1	0	0.000000	42.312990	40.059111	0.000000	0.000000	0	596	0
167	7297	1	1	0.000000	46.576812	42.285323	0.000000	0.000000	0	922	0
168	10722	0	0	0.000000	49.452061	47.677859	0.000000	0.000000	0	1256	0
169	6798	1	0	0.000000	53.689615	50.650927	0.000000	0.000000	0	896	0
170	23241	0	1	0.000000	56.442451	53.261262	0.000000	0.000000	0	3377	0
171	20398	0	1	0.000000	54.538533	52.108344	0.000000	0.000000	0	2739	0
172	23511	0	0	0.000000	58.313300	55.145719	0.000000	0.000000	0	3246	0
173	2340	1	1	0.000000	45.667949	44.402991	0.000000	0.000000	0	297	0
174	274	1	1	0.000000	129.777372	74.569343	0.000000	0.000000	0	145	0
175	910	2	2	0.000000	122.609890	94.957143	0.000000	0.000000	0	425	0
176	874	1	2	0.000000	168.504577	123.575515	0.000000	0.000000	0	422	0
177	37292	1	1	0.000000	55.183069	52.413815	0.000000	0.000000	0	5079	0
178	14312	1	1	0.000000	55.749581	52.800797	0.000000	0.000000	0	1955	0
179	19257	0	1	0.000000	56.918523	54.752142	0.000000	0.000000	0	2683	0
180	2664	1	0	0.000000	58.500000	55.968844	0.000000	0.000000	0	385	0
181	16198	0	0	0.000000	53.135819	51.279849	0.000000	0.000000	0	2189	0
182	10	0	0	0.000000	98.300000	97.600000	0.000000	0.000000	0	37	0
183	11261	1	1	0.000000	47.617441	44.349081	0.000000	0.000000	0	1365	0
184	6816	1	0	0.000000	63.407277	61.569689	0.000000	0.000000	0	1109	0
185	3	2	2	0.000000	162.333333	161.666667	0.000000	0.000000	0	104	0
186	6	2	1	0.000000	121.666667	120.833333	0.000000	0.000000	0	72	0
187	1232	0	0	0.000000	40.508929	39.711039	0.000000	0.000000	0	129	0
188	24751	1	0	0.000000	54.901378	53.377520	0.000000	0.000000	0	3269	0
189	4040	1	1	0.000000	56.527723	52.461881	0.000000	0.000000	0	627	0
190	10122	1	1	0.000000	50.416420	49.171014	0.000000	0.000000	0	1298	0
191	10260	0	1	0.000000	52.510624	50.419591	0.000000	0.000000	0	1283	0
192	19904	1	0	0.000000	53.909717	51.680064	0.000000	0.000000	0	2601	0
193	6235	1	1	0.000000	50.826143	48.047795	0.000000	0.000000	0	828	0
194	46833	1	0	0.000000	56.742767	54.375569	0.000000	0.000000	0	6348	0
195	13	0	0	0.000000	114.000000	113.230769	0.000000	0.000000	0	49	0
196	16697	0	0	0.000000	50.601605	48.060969	0.000000	0.000000	0	2052	0
197	6033	0	0	0.000000	54.887784	51.960385	0.000000	0.000000	0	779	0
198	4	2	1	0.000000	111.750000	111.750000	0.000000	0.000000	0	45	0
199	50	1	1	0.000000	45.380000	45.020000	0.000000	0.000000	0	19	0
200	10015	1	0	0.000000	59.361857	56.417574	0.000000	0.000000	0	1428	0
201	8245	0	0	0.000000	59.223893	57.281383	0.000000	0.000000	0	1249	0
202	7946	0	0	0.000000	61.767556	58.744903	0.000000	0.000000	0	1248	0
203	302	2	2	0.000000	151.463576	96.125828	0.000000	0.000000	0	214	0
204	27	1	1	0.000000	156.074074	151.592593	0.000000	0.000000	0	100	0
205	69	2	2	0.000000	175.217391	72.014493	0.000000	0.000000	0	96	0
206	30	2	1	0.000000	116.633333	66.533333	0.000000	0.000000	0	54	0
207	10	1	1	0.000000	43.500000	42.800000	0.000000	0.000000	0	22	0
208	8378	0	0	0.000000	57.806398	54.714968	0.000000	0.000000	0	1166	0
209	10822	0	0	0.000000	52.798096	49.972186	0.000000	0.000000	0	1370	0
210	1209	2	2	0.000000	529.044665	414.496278	0.000000	0.000000	0	1859	0
211	9779	1	0	0.000000	52.086512	50.548522	0.000000	0.000000	0	1193	0
212	6015	0	0	0.000000	50.925021	49.611970	0.000000	0.000000	0	733	0
213	8405	1	0	0.000000	52.703510	49.581321	0.000000	0.000000	0	1108	0
214	5597	1	0	0.000000	50.115419	48.058960	0.000000	0.000000	0	699	0
215	6950	1	0	0.000000	58.552950	56.587194	0.000000	0.000000	0	951	0
216	9830	0	0	0.000000	55.216480	53.766836	0.000000	0.000000	0	1361	0
217	17	0	0	0.000000	103.647059	103.058824	0.000000	0.000000	0	55	0
218	2250	0	1	0.000000	47.779556	45.651556	0.000000	0.000000	0	303	0
219	1247	0	1	0.000000	44.360866	43.246993	0.000000	0.000000	0	166	0
220	4219	0	1	0.000000	60.083432	54.679071	0.000000	0.000000	0	649	0
221	3606	0	1	0.000000	64.268164	62.169163	0.000000	0.000000	0	585	0
222	6629	0	1	0.000000	52.779001	50.049329	0.000000	0.000000	0	871	0
223	13092	0	0	0.000000	45.229682	43.762298	0.000000	0.000000	0	1405	0
224	15523	1	0	0.000000	55.210269	52.590092	0.000000	0.000000	0	2092	0
225	8	2	0	0.000000	123.625000	122.625000	0.000000	0.000000	0	72	0
226	4711	0	1	0.000000	59.040968	56.052430	0.000000	0.000000	0	709	0
227	9324	1	1	0.000000	57.841055	55.903689	0.000000	0.000000	0	1415	0
228	6	2	2	0.000000	272.166667	181.000000	0.000000	0.000000	0	137	0
229	10567	0	0	0.000000	54.142992	51.921737	0.000000	0.000000	0	1411	0
230	472	0	0	0.000000	51.699153	45.118644	0.000000	0.000000	0	57	0
231	4245	0	0	0.000000	48.009894	46.234865	0.000000	0.000000	0	496	0
232	6527	0	0	0.000000	55.185690	51.107706	0.000000	0.000000	0	873	0
233	45744	1	1	0.000000	57.718061	55.315517	0.000000	0.000000	0	6552	0
234	8703	1	0	0.000000	55.244973	53.746984	0.000000	0.000000	0	1259	0
235	1037	2	2	0.000000	125.805207	109.610415	0.000000	0.000000	0	419	0
236	271	1	1	0.000000	59.110701	58.690037	0.000000	0.000000	0	67	0
237	27619	1	1	0.000000	55.130092	52.308447	0.000000	0.000000	0	3611	0
238	1256	0	0	0.000000	41.040605	38.328822	0.000000	0.000000	0	145	0
239	32539	0	1	0.000000	53.908110	51.291250	0.000000	0.000000	0	4320	0
240	33001	0	1	0.000000	52.353959	50.012091	0.000000	0.000000	0	4223	0
241	8	2	2	0.000000	360.750000	258.125000	0.000000	0.000000	0	168	0
242	11	2	1	0.000000	133.636364	133.181818	0.000000	0.000000	0	65	0
243	74	1	1	0.000000	78.310811	77.932432	0.000000	0.000000	0	54	0
244	57	1	2	0.000000	330.736842	222.842105	0.000000	0.000000	0	158	0
245	80	2	2	0.000000	431.112500	242.962500	0.000000	0.000000	0	306	0
246	36542	1	1	0.000000	57.352663	55.419791	0.000000	0.000000	0	5131	0
247	6755	0	0	0.000000	61.124056	57.743301	0.000000	0.000000	0	1020	0
248	14182	1	0	0.000000	54.701664	51.901777	0.000000	0.000000	0	1904	0
249	421	1	1	0.000000	100.969121	90.133017	0.000000	0.000000	0	172	0
250	26	2	2	0.000000	168.000000	137.653846	0.000000	0.000000	0	98	0
251	83	2	2	0.000000	153.867470	64.084337	0.000000	0.000000	0	100	0
252	3427	0	1	0.000000	46.517946	44.058652	0.000000	0.000000	0	401	0
253	501	2	2	0.000000	86.459082	75.429142	0.000000	0.000000	0	138	0
254	293	1	1	0.000000	19.590444	19.484642	0.000000	0.000000	0	45	0
255	16333	0	0	0.000000	59.081553	56.741444	0.000000	0.000000	0	2378	0
256	57	2	0	0.000000	164.350877	162.578947	0.000000	0.000000	0	122	0
257	11	0	1	0.000000	92.545455	92.000000	0.000000	0.000000	0	42	0
258	12093	0	0	0.000000	46.890929	45.938808	0.000000	0.000000	0	1389	0
259	13831	0	2	0.000000	56.737257	55.101150	0.000000	0.000000	0	1944	0
260	10666	0	0	0.000000	53.768986	51.243390	0.000000	0.000000	0	1385	0
261	16298	1	0	0.000000	51.149712	48.367837	0.000000	0.000000	0	2117	0
262	15586	0	0	0.000000	56.497498	53.926729	0.000000	0.000000	0	2113	0
263	11185	1	0	0.000000	58.323111	55.778096	0.000000	0.000000	0	1562	0
264	778	1	1	0.000000	72.448586	70.029563	0.000000	0.000000	0	252	0
265	1	1	2	0.000000	93.000000	92.000000	0.000000	0.000000	0	39	0
266	1314	3	2	0.000000	205.923135	183.824201	0.000000	0.000000	0	723	0
267	947	0	0	0.000000	47.587117	46.114044	0.000000	0.000000	0	112	0
268	1	1	2	0.000000	163.000000	162.000000	0.000000	0.000000	0	68	0
269	1	1	2	0.000000	1168.000000	1164.000000	0.000000	0.000000	0	626	0
270	1	1	4	0.000000	1461.000000	1397.000000	0.000000	0.000000	0	762	0
271	3	2	1	0.000000	134.000000	132.000000	0.000000	0.000000	0	73	0
272	32	1	1	0.000000	61.781250	61.562500	0.000000	0.000000	0	53	0
273	1	1	3	0.000000	401.000000	400.000000	0.000000	0.000000	0	139	0
274	8	2	2	0.000000	401.875000	392.250000	0.000000	0.000000	0	174	0
275	80	1	1	0.000000	270.287500	184.962500	0.000000	0.000000	0	168	0
276	3	2	1	0.000000	225.666667	217.666667	0.000000	0.000000	0	101	0
277	62	2	1	0.000000	143.790323	134.548387	0.000000	0.000000	0	89	0
278	77	1	1	0.000000	84.155844	83.168831	0.000000	0.000000	0	51	0
279	2092	1	0	0.000000	51.945029	49.852294	0.000000	0.000000	0	288	0
280	3980	0	1	0.000000	52.130653	50.192714	0.000000	0.000000	0	494	0
281	9212	0	0	0.000000	48.967542	46.075445	0.000000	0.000000	0	1164	0
282	4360	1	1	0.000000	68.112615	59.850688	0.000000	0.000000	0	781	0
283	47	1	1	0.000000	416.042553	243.574468	0.000000	0.000000	0	252	0
284	55	2	2	0.000000	560.036364	307.636364	0.000000	0.000000	0	332	0
285	7975	1	1	0.000000	67.704577	65.821567	0.000000	0.000000	0	1390	0
286	64670	0	1	0.000000	53.635519	51.208536	0.000000	0.000000	0	8477	0
287	4728	0	1	0.000000	59.989636	58.594755	0.000000	0.000000	0	715	0
288	77	1	1	0.000000	614.168831	379.090909	0.000000	0.000000	0	396	0
289	6	2	2	0.000000	676.500000	670.833333	0.000000	0.000000	0	293	0
290	85	1	1	0.000000	590.235294	576.623529	0.000000	0.000000	0	383	0
291	22	2	2	0.000000	654.500000	387.954545	0.000000	0.000000	0	327	0
292	103	4	1	0.000000	590.524272	479.466019	0.000000	0.000000	0	451	0
293	12120	0	0	0.000000	54.141997	50.803465	0.000000	0.000000	0	1632	0
294	11640	1	1	0.000000	55.612285	54.195619	0.000000	0.000000	0	1520	0
295	8040	1	0	0.000000	55.568532	53.596517	0.000000	0.000000	0	1140	0
296	676	3	2	0.000000	501.723373	411.434911	0.000000	0.000000	0	1104	0
297	22438	0	0	0.000000	51.764908	49.537481	0.000000	0.000000	0	2860	0
298	18349	1	1	0.000000	54.392065	52.702654	0.000000	0.000000	0	2358	0
299	2	0	0	0.000000	122.000000	78.500000	0.000000	0.000000	0	43	0
300	2086	0	1	0.000000	43.954938	42.574305	0.000000	0.000000	0	221	0
301	121	2	2	0.000000	30.198347	29.933884	0.000000	0.000000	0	49	0
302	1	2	1	0.000000	59.000000	59.000000	0.000000	0.000000	0	23	0
303	62	0	1	0.000000	27.403226	27.387097	0.000000	0.000000	0	15	0
