locus_tag	ftype	length_bp	gene	EC_number	COG	product
DFNAAEMK_00001	CDS	1038	ypdE	3.4.11.-	COG1363	Aminopeptidase YpdE
DFNAAEMK_00002	CDS	1086	ypdF	3.4.11.-	COG0006	Aminopeptidase YpdF
DFNAAEMK_00003	CDS	1248	fryC		COG1299	Fructose-like permease IIC component 1
DFNAAEMK_00004	CDS	327	fryB_1	2.7.1.202	COG1445	PTS system fructose-like EIIB component 1
DFNAAEMK_00005	CDS	966	glk	2.7.1.2	COG0837	Glucokinase
DFNAAEMK_00006	CDS	336	ybdM		COG1475	putative protein YbdM
DFNAAEMK_00007	CDS	1161	ybdL	2.6.1.88	COG0436	Methionine aminotransferase
DFNAAEMK_00008	CDS	1089	hcxA	1.1.1.-	COG0371	Hydroxycarboxylate dehydrogenase A
DFNAAEMK_00009	CDS	198				hypothetical protein
DFNAAEMK_00010	CDS	2106	cstA		COG1966	Peptide transporter CstA
DFNAAEMK_00011	CDS	414	entH	3.1.2.-	COG2050	Proofreading thioesterase EntH
DFNAAEMK_00012	CDS	495	entA	1.3.1.28	COG1028	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase
DFNAAEMK_00013	CDS	2664	aceE	1.2.4.1	COG2609	Pyruvate dehydrogenase E1 component
DFNAAEMK_00014	CDS	765	pdhR		COG2186	Pyruvate dehydrogenase complex repressor
DFNAAEMK_00015	CDS	1188	aroP		COG1113	Aromatic amino acid transport protein AroP
DFNAAEMK_00016	CDS	855	ampE		COG3725	Protein AmpE
DFNAAEMK_00017	CDS	552	ampD	3.5.1.28	COG3023	1,6-anhydro-N-acetylmuramyl-L-alanine amidase AmpD
DFNAAEMK_00018	CDS	894	nadC	2.4.2.19	COG0157	Nicotinate-nucleotide pyrophosphorylase [carboxylating]
DFNAAEMK_00019	CDS	441				hypothetical protein
DFNAAEMK_00020	CDS	1386	epsE		COG2804	Type II secretion system protein E
DFNAAEMK_00021	CDS	1203	epsF		COG1459	Type II secretion system protein F
DFNAAEMK_00022	CDS	1044	guaC	1.7.1.7	COG0516	GMP reductase
DFNAAEMK_00023	CDS	621	coaE	2.7.1.24	COG0237	Dephospho-CoA kinase
DFNAAEMK_00024	CDS	744	zapD		COG4582	Cell division protein ZapD
DFNAAEMK_00025	CDS	198	yacG		COG3024	DNA gyrase inhibitor YacG
DFNAAEMK_00026	CDS	390	mutT	3.6.1.55	COG0494	8-oxo-dGTP diphosphatase
DFNAAEMK_00027	CDS	2706	secA		COG0653	Protein translocase subunit SecA
DFNAAEMK_00028	CDS	588	secM			Secretion monitor
DFNAAEMK_00029	CDS	918	lpxC	3.5.1.108	COG0774	UDP-3-O-acyl-N-acetylglucosamine deacetylase
DFNAAEMK_00030	CDS	1152	ftsZ		COG0206	Cell division protein FtsZ
DFNAAEMK_00031	CDS	1263	ftsA_1		COG0849	Cell division protein FtsA
DFNAAEMK_00032	CDS	831	ftsQ		COG1589	Cell division protein FtsQ
DFNAAEMK_00033	CDS	921	ddlB	6.3.2.4	COG1181	D-alanine--D-alanine ligase B
DFNAAEMK_00034	CDS	1476	murC	6.3.2.8	COG0773	UDP-N-acetylmuramate--L-alanine ligase
DFNAAEMK_00035	CDS	1068	murG	2.4.1.227	COG0707	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
DFNAAEMK_00036	CDS	1245	ftsW	2.4.1.129	COG0772	putative peptidoglycan glycosyltransferase FtsW
DFNAAEMK_00037	CDS	1317	murD	6.3.2.9	COG0771	UDP-N-acetylmuramoylalanine--D-glutamate ligase
